,title,abstract,link,volume
10,The gospel of prosperity and its concept of development: A Ghanaian Pentecostal-Charismatic experience,"The prosperity gospel, a doctrine in the global Pentecostal-Charismatic movement, characteristically demonstrates the nexus of the Christian faith and wealth. This article analyses Mensa Otabil, a Ghanaian prosperity preacher’s ‘20-year personal development plan’ for members of his church, the International Central Gospel Church (ICGC). It explores whether or not, why and how the members are aligning their lives and visions to his vision of how to achieve a better, prosperous community. Using ethnographic data obtained from selected members of the ICGC, this article investigates the idea and the implementation of the development plan, in order to understand the plan as Otabil’s conscious effort to change society through the transformation of individuals. It argues that Otabil’s efforts can be analysed as a form of religious engineering, where, the individual members are invited to act as engineers of their own life and subjectivity.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792050,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51
11,Religions and development: a paradigm shift or business as usual?,"There has been a ‘turn to religion’ by global development actors over the past couple of decades. This article examines the extent to which this is evidence of a paradigm shift or simply business as usual. The first part of the article will examine the nature of this ‘turn to religion’, including how it has been debated and conceptualized within academic research. I examine the usefulness of the concept of ‘religious engineering’ (the focus of this thematic issue) as a way of helping us broaden approaches to the ‘religion-development nexus’ beyond a focus on the relationship between formal international FBOs and secular global development institutions. The second part of the article develops the concept of ‘religious engineering’ with reference to the work of Pierre Bourdieu. I argue that the concepts of habitus, field and capital help de-centre the focus of attention from global development institutions to other fields of religion-development intersection.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792055,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51
12,"Hidden presence: race and/in the history, construct, and study of western esotericism","Except for a few studies that explore the intersections between esoteric ideas/practices and white supremacy, race has largely been ignored in the field of Western esotericism. This article seeks to partake in remedying this lacuna. To do so, it provides a deconstructive analysis of the way race has operated in the field. I argue that race, although consistently overlooked, has functioned as a ‘hidden presence’ that has shaped both the historical formation of the field and the construct of Western esotericism – so much so, in fact, that we may conceive it as a subtext in and for the dominant ‘grand narrative’ of Western esotericism. In conclusion, I investigate recent attempts to omit ‘Western’ as a definitive adjective in the study of esotericism, thereby proposing that, even as we move ‘beyond the West,’ we must also continue to investigate the entanglements of ‘Western’ and whiteness.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1642262,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
13,Pentecosmopolis: on the pentecostal cosmopolitanism of Lagos,"Based on ethnography conducted in Lagos, one of the foremost pentecostal cities in the world, this article coins the interconnected concepts of ‘Pentecosmopolis’ and ‘pentecosmopolitanism’ to account for forms of cosmopolitanism that are shaped at the intersection of Pentecostalisms and urbanisms. These concepts highlight the dialectical role of Pentecostalisms in the cosmopolitization of urban sociospatialities, and of urbanisms in the cosmopolitization of Pentecostalisms. This article disbands the ideas of Pentecosmopolis and pentecosmopolitanism into two interconnected sub-concepts of ‘pentecosmopolitan spatiality’ and ‘pentecosmopolitan sociality’––of ‘pentecosmopolitan sociospatiality’. Against the background of marginality in scholarship, I examine the cosmopolitization—the diversification and contrastification—of sociospatial symbolisms, practices and relationalities taking shape in the city at the behest of Pentecostalisms, and in Pentecostalisms at the behest of the city.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1650308,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
14,Imagining Buddhist modernism: the shared religious categories of scholars and American Buddhists,"Scholarship on religion has often centered on the gaps between academic analysis and the self-understanding of religious people. In the study of Buddhism in America, however, many scholars and practitioners share cultural histories, material circumstances, and textual space. This article examines the nature of the relationship between particular academics and particular convert Buddhists to argue that they share a way of thinking about religion: perceiving a strong dichotomy between modernity and tradition, and a resulting willingness to take Buddhist modernist narratives at face value as descriptions of religious life. This normative modernism, along with reactions against it, leads to the collapse of descriptive and prescriptive discourse on American Buddhism. By contrast, scholarship that does not participate in the dichotomy between modern and traditional religion reveals a much richer, messier, and more accurate picture of Buddhism in America, and the Buddhists whose practices and self-representations exceed the boundaries of modernism.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1664674,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
15,Religion and space in colonial South America: a technology of geo-political rule and terrestrial-spatial subjectivity in the Jesuit missions of the Banda Oriental,"Based on a genealogical analysis of documentary evidence, this paper explores the comprehensive technology of geo-political rule that was applied in the missions established and governed by the Society of Jesus in the territories of the Banda Oriental in South America, from the early 17th century to the second half of the 18th century. The interdependent knowledges and practices of the technology – its contested logics of universal conversion, its hard and soft geo-political techniques, its terrestrial-spatial subjectivities – as well as the resistances that opposed the technology’s operation are discussed and conceptualized. These conceptualizations are presented as contributions to the studies on colonial religious governmentalities. The conclusions highlight the relevance of governmentality approaches and meta-institutional analytical perspectives for the study of religions and space and religious geo-politics in past and contemporary societies.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1709580,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
16,"Big Gods, socio-cultural evolution and the non-obvious merits of a sociological interpretation","Much of the recent, renewed interest in the cultural evolution of religion has been driven by findings in experimental and cognitive psychology, and, as a result of disciplinary boundaries, sociologists have engaged very little with this new data and theory. In order to bring sociology formally back into this discussion, we provide in this paper five sociological sources for the birth and diffusion of ‘Big God’ ideation (with monotheism serving as a paradigmatic case). Agentically, we suggest that Big God beliefs assuaged existential anxiety, aided in elite legitimation and were useful for religious entrepreneurs hoping to establish new institutional fields. Structurally, we suggest that Big God beliefs may have been an epiphenomenal attempt by people to symbolically represent the centralization of political authority and the intensified use of new technologies. We conclude with a general theory of the cultural evolution of Big Gods that integrates these agentic and structural explanations.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1712666,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
17,Making sense of the study of spirituality: late modernity on trial,"In this article I offer a meta-theoretical mapping of spirituality studies and its many controversies. I begin by distinguishing between two projects that together constitute the field: the study for and the study of spirituality. I argue a good deal of the confusion surrounding ‘spirituality’ is the result of scholars failing to make this distinction. Next, I outline the few areas of agreement within the study of spirituality in order to illuminate what I consider the issue that defines the field: the merits and shortcomings of late modernity. By late modernity I mean the current era, whose origins can be traced roughly to the 1960s. I then offer a meta-theoretical analysis of the social-cum-political theoretical frameworks commonly used to study spirituality, delineating them according to their assessments of the contemporary epoch. I contend this is a useful and much-needed means of dispelling some of the fuzziness that characterizes the field.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1758229,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
18,‘Just leave it blank’ non-religious children and their negotiation of prayer in school,"This article examines how non-religious children experience acts of collective worship and prayer in primary school settings and analyses how they negotiate religion and their non-religious identities in these events. Drawing on ethnographic fieldwork examining non-religious childhoods and collective worship in three English primary schools, the authors explore how non-religious children demonstrate their agency when confronted with particular boundaries and concepts related to religion and non-religion in school contexts. Attending to the experiences, perspectives, and practices of non-religious children adds to our understanding of the varieties of non-religion, which has to date largely focused on elite, adult populations. Focusing on non-religious children’s experiences of prayer reveals how these children did not experience tensions between praying to God and their non-religious identities and articulated their own interpretations of these practices, deepening understanding of the lived realities of non-religious cultures and identities.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1758230,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
19,Vocation for travel. Catholic priestly training in Sri Lanka,"Catholic priests and advanced seminarians in Sri Lanka often describe their entrance to the seminary as the response to a strong spiritual calling that they could not ignore. Young seminarians offer more ambiguous narratives, where a combination of material anxieties, local cultural traditions and individual aspirations, encourage them to consider joining the clergy. This article examines how seminaries highlight aspects of religious formation where vocational discernment and the authenticity of one's calling are left for later stages of formation. Emphasizing aspects of career mobility, graduate studies overseas and missionary work, seminaries provide an attractive alternative for prospective priests in Sri Lanka. I argue that there is no contradiction between the spiritual dimensions of religious vocation and the material aspirations of seminarians. Although ethical dispositions emerge and replace the mundane impulses that initially attract young men to the seminary, material incentives are never completely eliminated from the vocational map of seminarians.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1810818,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
20,Why Durkheim really thought that Buddhism was a ‘religion’ (in memoriam Massimo Rosati),"In The Elementary Forms of the Religious Life, and in ‘On the Definition of Religious Phenomena,' Durkheim famously asserted both that Buddhism was a ‘religion' and an ‘atheistic' one at that. Why he did so is a problem long-considered settled. Of two possible answers, one is commonplace, while the other is uncommon and consequential. I shall attempt to explicate Durkheim's uncommon and far- reaching, but overlooked, reasons for declaring atheistic Buddhism a ‘religion.' This essay concurs with Martin Southwold that Durkheim believed – wrongly – that religion was ‘monothetic' class, when, in fact, it was ‘polythetic.' In order to admit Buddhism as a ‘religion,' Durkheim discovered that he had to apply different criteria for defining Buddhism as ‘religion’ than to theistic religions. Buddhism did not radiate dynamogenic force or induce a sense of existential dependence. Buddhism was a religion because it was an agent in making a meaningful life.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1761004,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
21,Pushing Pentecostalism toward the respectable: on the mainstreaming of a countercultural religious movement in Chile,"Pentecostalism used to be the stigmatized religion of the marginal sectors of Chilean society and has often been interpreted by scholars in terms of symbolic protest. However, a new generation of Pentecostals is now attempting to redefine their religion as more legitimate and respectable. This process involves attempts at gaining more public recognition and it implies revisiting Pentecostal stylistic and religious practices. Many younger Pentecostals tend to distance themselves, both from certain kinds of emotional expressions and from what they perceive as the rigid formalism of classical Pentecostalism. This is prevalent, both in Pentecostal worship which carefully balances effusiveness and liveliness with control, and in testimonies of younger Pentecostals who tend to downplay the sensationalist aspects of conversion (as caused by an instant revelation) and rather portray it as a gradual process of maturation. My paper explores how mainstreaming processes unfold at different levels and occasionally cause tensions among Chilean Pentecostals.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1712054,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
22,"The deliverance of the administrative state: deep state conspiracism, charismatic demonology, and the post-truth politics of American Christian nationalism","This article uses discourse analysis to explore the intersection of spiritual warfare demonology and Christian nationalism among Trump-supporting neo-charismatic evangelicals. Analysing public materials produced during and after the 2016 US presidential campaign, it demonstrates how demonologies operate discursively to categorise, comprehend, and contest understandings of American identity and destiny. Situating spiritual warfare demonology in relation to narratives of ‘post-truth politics’ as the destabilisation of neoliberal consensus reality, the article explores how charismatic evangelicals position Trump’s election as a divine assault on a demoniac status quo, epitomised in the conspiratorial figure of the ‘Deep State.’ Examining demonologies of the ‘state’ and ‘border’ as joint arenas of epistemic and societal contestation, the article shows how spiritual warfare discourses seek to (re)define sociocultural notions of truth and falsity and thereby (de)legitimise specific gendered, sexualised, and racialised forms of being and belonging.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1810817,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
23,Interreligious dialogue groups and the mass media,"Interreligious dialogues have received attention since they were introduced as a security policy and social pacification measure after the attack on 9/11. This essay examines the development of interreligious dialogue in Germany as well as the influence of media discourses on interreligious dialogue and asks to what extent they affect the motives, goals and modes of communication of both Muslim and non-Muslim participants. This analysis leads to the thesis that the mass media’s frequent security-policy framing of Islam within issues of integration, violence, and threat has developed interreligious dialogue groups as a space of face-to-face coping processes with the imagined religious conflict. Muslims attend it in order to put Islam in a different and positive frame. For the Christian participants this also presents the opportunity to reach a new relevance of religion in the public secular space.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1754604,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
24,‘Dear Hindu Friends’: official Diwali greetings as a medium for diplomatic dialogue,"This article discusses greeting messages as a genre of interreligious communication. Greeting messages are defined as official communication issued by religious institutions and addressed to the members of another religious community on the occasion of specific feast days or anniversaries. Drawing on the insights of politolinguistic analysis, this article treats these messages primarily as a form of public diplomacy. The case study analyses the messages issued on the occasion of the Hindu festival Diwali/Deepavali by the Pontifical Council for Interreligious Dialogue and World Council of Churches between 2015 and 2017. Distributed through the social media and posted on the institutional websites, the Diwali messages seek to speak as a Christian voice to all Hindus. Beyond the official addressee, the messages also potentially face the scrutiny of the global public sphere, especially an internal Christian readership. This article analyses what language strategies are used to deal with these varied demands.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1754599,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
25,Guestbooks in multifaith spaces as (inter-)religious media,"In recent years, various forms of multifaith spaces have been emerging in Germany which include so-called Rooms of Silence in hospitals or educational institutions as well as Gardens of Religions. So far, empirical research on these spaces has focused on their establishment or their functions within the surrounding organisations. In this article we will put a focus on the ‘user experience’ of multifaith spaces based on an analysis of guestbooks. These books are a unique source of data for a qualitative in-depth analysis as they offer an opportunity for visitors for commentary including religious references and speech acts. Drawing on two case studies from a Room of Silence within a hospital and a Garden of Religions, we investigate how users experience and appropriate multifaith spaces and how guestbooks may become media of (inter-) religious contact.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1756068,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
26,The big friendly counter-space? Interreligious encounter within social media,"Research on interreligious dialogue mostly focuses on face-to-face meetings, however, it also takes place in other contexts. Among them is the huge space of interactive media, where adherents of different religious traditions meet, e.g., in interreligious groups on Facebook, boards or commentary sections – but so far little has been researched on this field. The article is an explorative attempt to sort the field of interreligious dialogue and encounter in social media, drawing on a comparative perspective on the field of offline interreligious dialogue. For this purpose, it first gives a systematizing overview of the existing research on interreligious encounter in social media as well as on (offline) interreligious dialogue, identifying key questions and issues on interreligious encounter. Examples from different social media platforms then allow conclusions about commonalities and differences between online and offline interreligious encounter and suggest crucial aspects to follow up on in future research on this field.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1754605,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
27,"Me, myself and the other. Interreligious and intrareligious relations in neo-conservative online forums","The Internet can be a place for exchange, but also foster echo chambers of closed world views. This poses interesting questions for the possibility of interreligious dialogue online. The article examines the cases of German Evangelical and Salafist Internet forums which mainly target a specific religious denomination, but nevertheless provide spaces for contact between different religions and denominations. For the study, a combination of quantitative and qualitative text analysis is applied. Quantitative analysis makes it possible to gain an overview of the discussed themes from a large body of text and serves as a basis for sampling smaller textual units for close examination using qualitative content analysis. The analysis yields two primary results: First, intrareligious dialogue plays a particular role for the negotiation of religious identity. Second, interreligious relations reflect the societal positions of both religious groups.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1754603,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
28,The space between us: considering online media for interreligious dialogue,"The internet has been conceptualized as a public sphere in which constructive dialogues – such as inter-religious dialogues – can occur. Public spheres, however, require reason, reflectivity and sincerity rarely found in most web spaces. Therefore, this approach might be counterproductive. Instead, I suggest we consider online communication as a Foucauldian discourse, a site of struggle, in which norms and concepts are negotiated. This chapter considers a few theoretical frameworks that allow researchers to critically survey online inter-religious dialogue. Four case studies are then reviewed in light of these theoretical considerations. The chapter argues that online discourses need to be examined by paying attention to the technological affordances, the social and cultural context, and the linguistic strategies employed. It is suggested that, for interreligious dialogue to happen, it needs to carve out a space within this online media that is dedicated to contemplation and openness.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1754598,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
29,"Resistance through secrecy and integration: Pueblo Indians, Catholicism, and the subversion of colonial authority","While the most well know example of indigenous resistance to colonialism in North America is the Pueblo Revolt of 1680, this overt form of resistance is one event in a longer history of Pueblo people’s struggles to maintain their religious traditions in the face of colonialism. More consistently has been the use of covert tactics of secrecy and the strategic integration of Catholicism in ways that subtly subverted colonial hegemony. This article begins with a discussion of a framework for understanding Pueblo ‘religion,’ then examines the Pueblo Indian Patron Saint Feast Days as expressions of religious agency through their intentional incorporation of Catholicism on the Pueblos’ own terms. It then explores how this came to be through an examination of Spanish colonial and missionary ideologies and practices that influenced the development of secrecy and religious adaptation as successful subtle forms of subversion that later became articulated within the Feast Days.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1713514,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
30,Divine servitude against the work of man: dispossessive subjects and Exoduses to and from property,"The self-possessive individual of early modern colonial capitalism depended upon a limit to the self’s alienability: while one could buy and sell other humans, one could not sell or enslave oneself. This essay explores how liberal political philosophers and abolitionist hermeneuts managed Biblical sanction for voluntary enslavement (contained in Exodus 21) in order to ground and normalize liberal-capitalist institutions, such as private property and wage labor. It then shifts to an archive of black ex-slave spiritual autobiography, exploring how former slaves figured their becoming mundanely free as becoming God’s possession. Refusing liberal self-possession, these once-possessed, dispossessive subjects articulate a general critique of property relations.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1713515,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
31,Subversive space: representations of space as articulations of sovereignty in colonial Mysore,"This article is an inquiry into the relationship between representations of space and religion, power, and territory. It argues that the manner that space is represented is intimately tied to the colonial project as the tool through which European nations could represent the world they wanted, promulgating a specific religious perspective and articulating colonizers’ desired spatial, religious, and political order. This is contrasted with a set of murals that visualize an alternative perspective of space and territory found in the citramaṇṭapa of the Vēṅkaṭaramanasvāmi temple in Mysore. These murals that depict space differently contested the colonial hegemony of space by articulating an indigenous spatial order constructed upon an alternate cosmological and religious model, thereby subtly subverting colonialism by articulating India as a sacred and sovereign domain.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1713516,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
32,"‘When she steps on an ant, it will not die; but if she stumbles over a rice pestle, it will break into three parts’: an un-subtle subversive woman dancing body in Hoerijah Adam’s dance/choreography","This essay traces the life/works of Hoerijah Adam (1936–1971), known for her significance in co-shaping modern dance in Indonesia, providing a subversive discourse that decentres the conventional reading of Muslim women's bodies. Originating from Minangkabau, West Sumatra – the world's largest Muslim matrilineal society – exposed Adam to a hybrid upbringing of traditional home vis-a-vis localised progressive arts education combining Islamic teaching and Western-influenced artistic articulation. Her trajectory shows a woman's dancing body as paradoxical cultural processess, e.g., an interweaving of multiple discourses of Islam, matriliny, and modernism, informed by the innate resilience of Minangkabau culture in defending its core traits against the colonial powers.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1713517,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
33,"European perceptions of religion and society in 18th-century China & Bengal, and their subverted gaze in local art and encounter","This essay presents two late 18th century European travelers’ encounters with and perceptions of religion in Chinese and Indian societies. While C.L.J De Guignes made an extensive tour of Chinese pagodas, Balthazar Solvyns was depicting Bengali people in 1794. Both traveler's works reveal a lineage of ideas involving exoticism and early-modern orientalism. While creating images of religion based on superstition and alterity, they did not take into account how the gaze was reversed unto them. While Solvyns created images of ‘the Hindoos’, Bengali artists were depicting the European colonial presence in scroll paintings and temple sculptures. These depictions may be considered as mimetic practices subverting the relational gaze, incorporating the European presence in order to overcome it. Contrasting early ethnographical European descriptions of Asian religions with their original contexts, a subverted gaze shines back upon the self-image of early modern European scholars seeking to make exotic Asian religions ‘known’.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1713518,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50
