Id,Coordonnee Lambert 93 X,Coordonnee Lambert 93 Y,coordonnees décimales longitude,coordonnees décimales latitude,Region,Departement,Commune,Nom de l'intervention,Nom du site,Date début,Date fin,Periode(s),Theme(s),Type intervention
INRAPI0017,775480,6906720,4.0366771,49.2556815,Champagne-Ardenne,Marne,Reims,"19, rue Eugène-Desteuque","19, rue Eugène-Desteuque",2003-02-10,2003-09-15,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0018,"679457,42","6864446,514",2.7199034,48.8797104,Ile-de-France,Seine-et-Marne,Lagny-sur-Marne,19-25 Avenue Grouard,19-25 Avenue Grouard,2010-11-01,2011-05-01,#Moyen Âge,#Cultes et pratiques funéraires,fouille
INRAPI0019,679486,6864439,2.7202934,48.8796438,Ile-de-France,Seine-et-Marne,Lagny-sur-Marne,19-25 avenue Grouard,19-25 avenue Grouard,2011-10-03,2011-10-22,#Moyen Âge,#Cultes et pratiques funéraires,fouille
INRAPI0020,"892379,747","6247793,248",5.3699512,43.3033184,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,"1bis, rue Malaval","1bis, rue Malaval",2003-08-15,2004-03-15,"#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0021,775475,6906150,4.0365057,49.2505584,Champagne-Ardenne,Marne,Reims,20  rue de Contrai,20  rue de Contrai,2002-09-16,2003-01-03,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0022,"651921,28","6860625,83",2.3448945,48.8438844,Ile-de-France,Paris,Paris,22 rue d'Ulm / 9-11 rue Pierre et Marie Curie / 193 rue Saint Jacques,22 rue d'Ulm / 9-11 rue Pierre et Marie Curie / 193 rue Saint Jacques,,,#Antiquité,"#Habitats, architecture, édifices#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0023,"892265,598","6246576,33",5.3680964,43.2924071,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,23 quai de Rive Neuve,23 quai de Rive Neuve,2004-12-15,2005-02-14,"#Antiquité#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0024,"930111,5",6922382,6.1675729,49.3594303,Lorraine,Moselle,Thionville,"24-26, rue de la Vieille-Porte","24-26, rue de la Vieille-Porte",2003-05-12,2003-06-24,"#Moyen Âge#Moderne, Contemporain#Autres périodes",,fouille
INRAPI0025,"893092,289","6247219,898",5.3785111,43.2979703,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,25  rue Thubaneau - Le jeu de paume,"25 rue Thubaneau, Jeu de Paume",,,"#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0026,691539,6874332,2.8844372,48.9688791,Ile-de-France,Seine-et-Marne,Meaux,25 rue Saint-Fiacre - 124 rue de Châage,25 rue Saint-Fiacre - 124 rue de Châage,,,#Antiquité,"#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0027,"893092,289","6247219,898",5.3785111,43.2979703,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,"25 rue Thubaneau, Jeu de Paume","25 rue Thubaneau, Jeu de Paume",2008-06-28,2008-10-15,"#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0028,717720,6249950,3.2184335,43.3484727,Languedoc-Roussillon,Hérault,Béziers,27-29 rue Kléber,27-29 rue Kléber,2010-09-13,2010-10-19,#Antiquité,"#Vie quotidienne, usages",fouille
INRAPI0029,945800,6837600,6.3340321,48.5918969,Lorraine,Meurthe-et-Moselle,Rosières-aux-Salines,28-30 rue du Colonel Thiébaut,28-30 rue du Colonel Thiébaut,,,,,fouille
INRAPI0030,"687320,012","6924341,555",2.825302,49.4184092,Picardie,Oise,Compiègne,29-33 rue Solférino,29-33 rue Solférino,,,#Moyen Âge,"#Habitats, architecture, édifices",fouille
INRAPI0031,"892462,547","6247596,021",5.3708977,43.3015226,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,30 – 14 rue Trinquet,30 – 14 rue Trinquet,2007-04-10,2007-09-14,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0032,775850,6906890,4.041789,49.2571659,Champagne-Ardenne,Marne,Reims,30-32 et 34 rue de l'Écu,30-32 et 34 rue de l'Écu,2002-09-30,2002-11-15,"#Protohistoire#Antiquité#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0033,669580,6864599,2.5852166,48.8806909,Ile-de-France,Seine-et-Marne,Chelles,30-32 rue Gustave-Nast,30-32 rue Gustave-Nast,2006-09-01,2007-03-31,#Néolithique#Protohistoire#Antiquité#Moyen Âge,,fouille
INRAPI0034,655356,6664675,2.4115887,47.0808296,Centre,Cher,Bourges,"35, rue de Sarrebourg","35, rue de Sarrebourg",2004-03-01,2004-05-31,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0035,"650084,626","6977329,274",2.3058923,49.8927008,Picardie,Somme,Amiens,38-42  rue Lamartine,38-42  rue Lamartine,2003-09-01,2004-01-01,#Antiquité#Moyen Âge,,fouille
INRAPI0036,1050152,6842090,7.7502192,48.5842022,Alsace,Bas-Rhin,Strasbourg,4 rue Brûlée,4 rue Brûlée,2008-03-26,2008-09-30,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0037,"666837,371","6860909,645",2.5481089,48.8473771,Ile-de-France,Seine-Saint-Denis,Noisy-le-Grand,4 rue des Mastraits - Nécropole du haut Moyen Âge,4 rue des Mastraits - Nécropole du haut Moyen Âge,2008-10-27,2009-05-25,#Moyen Âge,,fouille
INRAPI0038,655240,6856656,2.39053,48.8084221,Ile-de-France,Val-de-Marne,Ivry-sur-Seine,"44-46, rue Raspail","44-46, rue Raspail",2003-04-02,2003-06-14,"#Néolithique#Protohistoire#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0039,573516,6271958,1.4356637,43.5354187,Midi-Pyrénées,Haute-Garonne,Vieille-Toulouse,5 Chemin de la Planho,5 Chemin de la Planho,2007-02-27,2007-08-31,#Protohistoire,,fouille
INRAPI0040,775110,6906840,4.0316174,49.2568038,Champagne-Ardenne,Marne,Reims,"5 et 7, rue de Pouilly","5 et 7, rue de Pouilly",2005-09-12,2006-02-15,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0041,212620,6817403,-3.5766227,48.2741881,Bretagne,Finistère,Carhaix-Plouguer,"5, rue du Docteur-Menguy","5, rue du Docteur-Menguy",2002-07-01,2002-08-09,#Antiquité#Autres périodes,,fouille
INRAPI0042,"700391,662","6874035,536",3.0053492,48.9662688,Ile-de-France,Seine-et-Marne,Changis-sur-Marne,5000 ans de vie rurale à Changis-sur-Marne,5000 ans de vie rurale à Changis-sur-Marne,1995-07-24,2004-12-04,#Néolithique#Protohistoire,,fouille
INRAPI0043,657870,6857662,2.4262403,48.8176466,Ile-de-France,Val-de-Marne,Saint-Maurice,"53-57, rue du Maréchal-Leclerc","53-57, rue du Maréchal-Leclerc",,,"#Moderne, Contemporain",#Cultes et pratiques funéraires,fouille
INRAPI0044,"893115,19","6247671,481",5.3789606,43.3020246,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,53-63 rue Bernard-du-Bois,53-63 rue Bernard-du-Bois,2005-06-19,2005-09-19,"#Paléolithique, Mésolithique#Antiquité#Moderne, Contemporain","#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0045,650289,6862248,2.322465,48.8583486,Ile-de-France,Paris,Paris,60 quai des Tuileries - Musée de l'Orangerie,60 quai des Tuileries - Musée de l'Orangerie,2003-09-29,2004-10-18,"#Moderne, Contemporain",,fouille
INRAPI0046,646728,6859375,2.2742929,48.8322273,Ile-de-France,Paris,Paris,62  rue Henry-Farman,62  rue Henry-Farman,2008-02-18,2008-07-31,#Néolithique#Protohistoire,"#Peuplement, occupation espace",fouille
INRAPI0047,"525594,24","6701608,25",0.6876783,47.391832,Centre,Indre-et-Loire,Tours,"63-65bis rue Nationale, 9 rue Etienne Palu et 2-8 rue Gambetta","63-65bis rue Nationale, 9 rue Etienne Palu et 2-8 rue Gambetta",2006-09-01,2007-03-31,#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0048,"1032709,34","6286546,55",7.1211215,43.5998162,Provences-Alpes-Côte-d'Azur,Alpes Maritimes,Antibes,64 avenue de Nice,64 avenue de Nice,2010-11-29,2011-01-21,#Antiquité#Moyen Âge,#Cultes et pratiques funéraires#Échange et transport#Paysage et environnement,fouille
INRAPI0049,651793,6860420,2.34317,48.8420238,Ile-de-France,Paris,Paris,64 rue Gay-Lussac - 3 rue des Ursulines,64 rue Gay-Lussac - 3 rue des Ursulines,2002-09-23,2002-11-19,"#Antiquité#Moderne, Contemporain",,fouille
INRAPI0050,653067,6868543,2.3596302,48.9151658,Ile-de-France,Seine-Saint-Denis,L'Île-Saint-Denis,"66-70, Rue Du Landy","66-70, Rue Du Landy",2003-11-17,2003-11-28,#Protohistoire,,fouille
INRAPI0051,"655719,768","6878685,925",2.3947633,49.0065598,Ile-de-France,Val-d'Oise,Villiers-le-Bel,"69, rue Gambetta","69, rue Gambetta",2004-10-21,2004-12-24,#Protohistoire#Moyen Âge,,fouille
INRAPI0052,417687,6523237,-0.6325897,45.7502778,Poitou-Charentes,Charente-Maritime,Saintes,7  Petite rue du Séminaire,7  Petite rue du Séminaire,2007-07-19,2007-08-31,#Antiquité,"#Habitats, architecture, édifices",fouille
INRAPI0053,"808779,33","6304316,46",4.3522666,43.829477,Languedoc-Roussillon,Gard,Nîmes,78 avenue Jean-Jaurès,78 avenue Jean-Jaurès,2003-07-07,2003-08-14,#Antiquité,,fouille
INRAPI0054,617539,6756326,1.8963241,47.9021408,Centre,Loiret,Orléans,8-10 rue Porte Madeleine,8-10 rue Porte Madeleine,2004-11-22,2004-12-24,"#Protohistoire#Antiquité#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace",fouille
INRAPI0055,617549,6756326,1.8964579,47.9021421,Centre,Loiret,Orléans,"8-10, rue Porte-Madeleine","8-10, rue Porte-Madeleine",2004-11-22,2004-12-28,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0056,928479,6686886,6.0211575,47.2429348,Franche-Comté,Doubs,Besançon,"85 bis, rue Battant","85 bis, rue Battant",2007-01-15,2007-02-23,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0057,759472,6278998,3.7364284,43.6075388,Languedoc-Roussillon,Hérault,Murviel-lès-Montpellier,9 bis route de Bel-Air,9 bis route de Bel-Air,2009-11-16,2009-12-11,#Antiquité,"#Habitats, architecture, édifices#Paysage et environnement",fouille
INRAPI0058,"678311,338","6864305,229",2.704284,48.8784023,Ile-de-France,Seine-et-Marne,Lagny-sur-Marne,9 rue Gambetta,9 rue Gambetta,2010-03-22,2010-07-13,"#Moyen Âge#Moderne, Contemporain","#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0059,800920,6873135,4.3779706,48.9502523,Champagne-Ardenne,Marne,Saint-Memmie,"9, rue du Pont-Alips","9, rue du Pont-Alips",2003-07-29,2003-08-22,"#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0060,774635,6906765,4.0250808,49.2561852,Champagne-Ardenne,Marne,Reims,"9-11, boulevard du Général Leclerc","9-11, boulevard du Général Leclerc",2004-05-27,2004-09-16,"#Antiquité#Moderne, Contemporain","#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0061,678304,6787979,2.7080319,48.1918058,Ile-de-France,Seine-et-Marne,Souppes-sur-Loing,À l'est de Beaumoulin,À l'est de Beaumoulin,2002-04-15,2002-07-26,#Néolithique#Protohistoire,,fouille
INRAPI0062,"478011,652","6509980,464",0.1490107,45.6532994,Poitou-Charentes,Charente,Angoulême,Abbaye Saint-Cybard,Abbaye Saint-Cybard,2002-04-15,2002-09-30,"#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0063,"584756,942","6452121,67",1.5332726,45.1587604,Limousin,Corrèze,Brive-la-Gaillarde,Abords de la collégiale Saint-Martin,Abords de la collégiale Saint-Martin,2012-07-23,2012-10-31,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0064,575886,6373002,1.4402863,44.4450352,Midi-Pyrénées,Lot,Cahors,Allées Fénelon,Allées Fénelon,2007-03-05,2007-07-29,"#Antiquité#Moyen Âge#Moderne, Contemporain",,fouille
INRAPI0065,1026810,6776632,7.3849769,48.0083845,Alsace,Haut-Rhin,Sainte-Croix-en-Plaine,"Ancien échangeur, gendarmerie","Ancien échangeur, gendarmerie",2005-05-13,2005-07-17,#Protohistoire,,fouille
INRAPI0066,"790181,031","6588974,37",4.1736966,46.3946837,Bourgogne,Saône-et-Loire,Nochize,Ancienne église,Ancienne église,2003-01-15,2003-01-16,"#Moderne, Contemporain",,fouille
INRAPI0067,"561694,349","6929339,938",1.093204,49.4484511,Haute-Normandie,Seine-Maritime,Rouen,Angle des rues Verte et Pouchet,Angle des rues Verte et Pouchet,2012-06-01,2012-12-31,#Moyen Âge,,fouille
INRAPI0068,"720792,752","6971502,293",3.2888473,49.841983,Picardie,Aisne,Saint-Quentin,Angle des rues Voltaire et des Faucons,Angle des rues Voltaire et des Faucons,2005-02-01,2006-02-28,#Moyen Âge,"#Arts, biens de prestige",fouille
INRAPI0069,"840962,075","6580396,596",4.8318225,46.3087548,Bourgogne,Côte-d'Or,Mâcon,Angle rue Tilladet et Epinoches,Angle rue Tilladet et Epinoches,2005-09-26,2005-12-06,#Antiquité,,fouille
INRAPI0070,840185,6520700,4.8040075,45.7714976,Rhône-Alpes,Rhône,Sainte-Foy-lès-Lyon,Angle rues Sergent M. Berthet/Saint-Pierre-de-Vaise,Angle rues Sergent M. Berthet/Saint-Pierre-de-Vaise,2004-03-29,2004-06-25,#Néolithique#Protohistoire#Antiquité,,fouille
INRAPI0071,"894967,14","6288343,37",5.4170925,43.6672705,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Le Puy-Sainte-Réparade,Arnajon,Arnajon,2007-04-02,2007-05-15,#Antiquité,"#Échange et transport#Habitats, architecture, édifices",fouille
INRAPI0072,696804,6956263,2.9557206,49.7053981,Picardie,Somme,Ercheu,Au Chemin de Ham et Le Champs d'Artois,Au Chemin de Ham et Le Champs d'Artois,2010-10-11,2010-12-24,#Néolithique#Protohistoire#Antiquité#Moyen Âge,"#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices#Peuplement, occupation espace",fouille
INRAPI0073,698494,6988447,2.9790164,49.994537,Picardie,Somme,Moislains,Au Petit Chemin de Nurlu,Au Petit Chemin de Nurlu,2010-08-09,2010-10-08,#Protohistoire#Antiquité,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0074,"851231,054","6683244,044",4.9990439,47.2322671,Bourgogne,Côte-d'Or,Gevrey-Chambertin,Au-dessus de Bergis,Au-dessus de Bergis,2008-06-09,2008-08-04,#Néolithique#Protohistoire#Antiquité,"#Agriculture, élevage#Chasse, pêche, cueillette#Habitats, architecture, édifices#Paysage et environnement#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0075,"800434,577","6651599,915",4.3207539,46.9570453,Bourgogne,Saône-et-Loire,Autun,Autun Pont l'Evêque,Autun Pont l'Evêque,,,#Antiquité,#Cultes et pratiques funéraires,fouille
INRAPI0076,786215,6594849,4.1231738,46.4480962,Bourgogne,Saône-et-Loire,Paray-le-Monial,Aux origines de la basilique de Paray-le-Monial,Aux origines de la basilique de Paray-le-Monial,,,#Moyen Âge,"#Habitats, architecture, édifices",fouille
INRAPI0077,858800,6879500,5.1703322,48.995781,Lorraine,Meuse,Nubécourt,Aux Villées,Aux Villées,2001-09-01,2002-07-31,#Néolithique#Protohistoire#Antiquité#Moyen Âge#Autres périodes,"#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0078,423191,6504475,-0.5510158,45.5837577,Poitou-Charentes,Charente-Maritime,Pons,Avenue de Versailles,Avenue de Versailles,2009-02-16,2009-07-10,#Protohistoire,,fouille
INRAPI0079,427278,6922347,-0.7532857,49.3423359,Basse-Normandie,Calvados,Port-en-Bessin-Huppain,Avenue du Général de Gaulle,Avenue du Général de Gaulle,2013-06-05,2013-06-27,#Antiquité,"#Habitats, architecture, édifices#Peuplement, occupation espace#Vie quotidienne, usages",fouille
INRAPI0080,640181,6866813,2.1840643,48.8985404,Ile-de-France,Hauts-de-Seine,Nanterre,Avenue Jules-Quentin,Avenue Jules-Quentin,2003-09-08,2003-10-31,#Protohistoire#Antiquité,,fouille
INRAPI0081,572929,6689821,1.3183584,47.2965291,Centre,Loir-et-Cher,Mareuil-sur-Cher,Bagneux,Bagneux,2005-03-01,2005-03-30,#Néolithique,"#Peuplement, occupation espace",fouille
INRAPI0082,"939902,47","6309192,66",5.983458,43.8409506,Provences-Alpes-Côte-d'Azur,Alpes de Haute-Provence,Valensole,Baïsse de Sainte-Anne - Une nécropole de l'Antiquité tardive à Valensole,Baïsse de Sainte-Anne - Une nécropole de l'Antiquité tardive à Valensole,2007-03-12,2007-06-30,#Antiquité,#Cultes et pratiques funéraires,fouille
INRAPI0083,"649635,351","6977706,388",2.2995987,49.8960527,Picardie,Somme,Amiens,Bas Parvis - Marché aux Herbes,Bas Parvis - Marché aux Herbes,2006-05-15,2006-10-15,"#Antiquité#Moyen Âge#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0084,"1030615,91","6283308,47",7.0931604,43.5717001,Provences-Alpes-Côte-d'Azur,Alpes Maritimes,Antibes,Bas-Lauvert,Bas-Lauvert,2006-01-09,2006-04-21,#Antiquité,,fouille
INRAPI0085,775190,6905540,4.0324826,49.2451086,Champagne-Ardenne,Marne,Reims,"Bd Docteur Henri Henrot, rue Folle Peine et rue des Moulins (ZAC du vieux Port)",Boulevard Henri-Henrot (ZAC du Vieux Port),2007-11-19,2009-05-09,#Protohistoire#Antiquité#Moyen Âge,"#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0086,"112075,83","6839887,73",-4.9554597,48.3925101,Bretagne,Finistère,Île-Molène,Beg ar Loued,Beg ar Loued,2003-03-01,2011-09-09,#Néolithique#Protohistoire,"#Habitats, architecture, édifices#Paysage et environnement#Peuplement, occupation espace",fouille
INRAPI0087,933595,6849162,6.1749685,48.7003305,Lorraine,Meurthe-et-Moselle,Nancy,Berger-Levrault,Berger-Levrault,2010-03-01,2010-09-17,,,fouille
INRAPI0088,922000,6876700,6.0318946,48.9518983,Lorraine,Meurthe-et-Moselle,Vandières,Bêtes aux Champs,Bêtes aux Champs,2002-11-26,2002-12-09,#Protohistoire#Antiquité,"#Habitats, architecture, édifices",fouille
INRAPI0089,694048,6972677,2.917299,49.85285,Picardie,Somme,Saint-Christ-Briost,Bois de Briost et Sole d'Happlincourt,Bois de Briost et Sole d'Happlincourt,2010-08-17,2010-12-17,#Néolithique,"#Habitats, architecture, édifices",fouille
INRAPI0090,561677,6883068,1.1082456,49.032589,Haute-Normandie,Eure,Parville,Bois de Parville,Bois de Parville,2006-02-06,2006-08-25,#Protohistoire#Antiquité,,fouille
INRAPI0091,644076,6787042,2.2475572,48.181338,Centre,Loiret,Pithiviers,Bois Médor et Vieux Chemin d'Étampes,Bois Médor et Vieux Chemin d'Étampes,2010-05-05,2010-07-06,,,fouille
INRAPI0092,477663,3211945,1.1412903,17.1133243,Aquitaine,Dordogne,Boulazac,Boulazac,Boulazac,2011-11-01,,,"#Arts, biens de prestige#Échange et transport#Peuplement, occupation espace",fouille
INRAPI0093,"863872,02","6330171,6",5.0452086,44.0514453,Provences-Alpes-Côte-d'Azur,Vaucluse,Carpentras,Boulevard Clemenceau,Boulevard Clemenceau,2005-02-28,2005-04-22,#Antiquité,,fouille
INRAPI0094,854220,6693746,5.0421252,47.3260913,Bourgogne,Côte-d'Or,Dijon,Boulevard de la Trémouille - Place de la République,Boulevard de la Trémouille - Place de la République,,,#Moyen Âge,"#Habitats, architecture, édifices#Organisation sociale et politique",fouille
INRAPI0095,390071,6788332,-1.1671838,48.1217376,Bretagne,Ille-et-Vilaine,Vitré,Boulevard de Laval - La Grande Haie,Boulevard de Laval - La Grande Haie,2007-10-15,2008-04-08,#Protohistoire,"#Habitats, architecture, édifices",fouille
INRAPI0096,775190,6905540,4.0324826,49.2451086,Champagne-Ardenne,Marne,Reims,Boulevard Henri-Henrot (ZAC du Vieux Port),Boulevard Henri-Henrot (ZAC du Vieux Port),2008-06-01,2009-07-10,"#Antiquité#Moderne, Contemporain","#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0097,"892982,108","6247674,095",5.3773231,43.3020841,Provences-Alpes-Côte-d'Azur,Bouches-du-Rhône,Marseille,Boulevard Nédélec,Boulevard Nédélec,2006-09-04,2007-05-26,"#Paléolithique, Mésolithique#Antiquité#Moderne, Contemporain","#Habitats, architecture, édifices",fouille
INRAPI0098,526715,6530511,0.7666716,45.8521971,Poitou-Charentes,Charente,Chassenon,Bourg de Chassenon,Bourg de Chassenon,2012-08-27,2012-10-31,#Antiquité,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0099,543457,6690626,0.9282123,47.2974687,Centre,Indre-et-Loire,Athée-sur-Cher,Bussière,Bussière,2004-11-29,2004-12-31,#Antiquité#Moyen Âge,"#Habitats, architecture, édifices",fouille
INRAPI0100,"675980,29","6435482,04",2.6950793,45.0181577,Languedoc-Roussillon,Pyrénées-Orientales,Amélie-les-Bains-Palalda,Camps de Las Basses,Camps de Las Basses,,,#Protohistoire#Antiquité,"#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat",fouille
INRAPI0101,641889,6845999,2.2101996,48.711513,Ile-de-France,Essonne,Palaiseau,Campus de l'École polytechnique,Campus de l'École polytechnique,2010-04-02,2010-07-02,"#Néolithique#Protohistoire#Antiquité#Moderne, Contemporain","#Agriculture, élevage#Habitats, architecture, édifices#Industrie, artisanat#Sciences et méthodes de l'archéologie#Vie quotidienne, usages",fouille
INRAPI0102,897500,6780700,5.6535234,48.096805,Lorraine,Vosges,Damblain,Cap Vosges,Cap Vosges,2008-05-13,2009-08-30,#Antiquité#Moyen Âge,"#Habitats, architecture, édifices",fouille
INRAPI0103,"706331,35","6519499,4",3.0814748,45.7750776,Auvergne,Puy-de-Dôme,Clermont-Ferrand,Carré Jaude 2 - extension 2010,Carré Jaude 2 - extension 2010,2010-02-03,2010-04-30,#Antiquité,"#Cultes et pratiques funéraires#Habitats, architecture, édifices",fouille
INRAPI0104,496567,6662172,0.3208363,47.0287172,Centre,Indre-et-Loire,Richelieu,Carrefour RD749,Carrefour RD749,2002-10-01,2002-10-22,#Moyen Âge,,fouille
