PAPER ID,TITLE,DISCIPLINE,PAPER TYPE,,,,,,,,,
BIO.G0.09.1,Nest Selection In Weaver Birds,Biology,Report,,,,,,,,,
BIO.G0.11.3,Fungal Eye Infections Due to ReNu MoistureLoc,Biology,Report,,,,,,,,,
BIO.G0.12.2,Lab Report 2: Plant Biodiversity ,Biology,Report,,,,,,,,,
BIO.G0.13.1,Malaria Disease and Transmission,Biology,Report,,,,,,,,,
BIO.G0.16.1,Role of Leptin in Cardiovascular Disease,Biology,Report,,,,,,,,,
BIO.G0.18.1,Mammal Diversification,Biology,Report,,,,,,,,,
BIO.G0.19.1,Malaria Disease and Transmission,Biology,Report,,,,,,,,,
BIO.G0.20.1,A Case for a US International Anti-Malaria Program,Biology,Report,,,,,,,,,
BIO.G0.24.1,Varying Infectivity of Diplostomum Flexicaudum in Fish Species of Douglas Lake,Biology,Report,,,,,,,,,
BIO.G0.25.1,Malaria in the Twenty-first Century,Biology,Report,,,,,,,,,
BIO.G0.26.1,"Case Analysis for Jean ""Redhorse"" Osceola ",Biology,Report,,,,,,,,,
BIO.G0.29.1,Sexual Selection and Male Sacrifice:  From Darwin until Now,Biology,Report,,,,,,,,,
BIO.G0.30.1,Assessing selection hypotheses for the CCR5-delta32 mutation in Europeans,Biology,Report,,,,,,,,,
BIO.G0.32.1,Mangrove Deforestation,Biology,Report,,,,,,,,,
BIO.G1.03.1,Dispersal: a Review and Synthesis,Biology,Report,,,,,,,,,
BIO.G1.06.1,Temp effects on nitrogen mineralization,Biology,Report,,,,,,,,,
BIO.G1.08.1,"Boc, sonic hedgehog and commissural axons",Biology,Report,,,,,,,,,
BIO.G2.02.1,Modularity and the Evolution of Complex Systems,Biology,Report,,,,,,,,,
BIO.G2.05.1,Application of Microarray Analysis in Drosophila,Biology,Report,,,,,,,,,
BIO.G2.05.2,Assignment: Subcellular Protein Localization,Biology,Report,,,,,,,,,
BIO.G2.07.1,Biofuels and Biodiversity,Biology,Report,,,,,,,,,
BIO.G0.02.6,Genetic Analysis of Drosophila Melanogaster Mutants: To Determine Inheritance and Linkage Patterns,Biology,Research Paper,,,,,,,,,
BIO.G0.03.1,Lab 3: Plant Competition,Biology,Research Paper,,,,,,,,,
BIO.G0.03.2,The Effects of Motor Oil on Aquatic Insect Predation,Biology,Research Paper,,,,,,,,,
BIO.G0.03.3,Comparison of Hypothesis Testing in a High vs. Low-impact Journal,Biology,Research Paper,,,,,,,,,
BIO.G0.04.2,Drosophila Lab Report,Biology,Research Paper,,,,,,,,,
BIO.G0.04.3,Conjugation Lab Report,Biology,Research Paper,,,,,,,,,
BIO.G0.07.2,"Plasmid Transfer, Genetic Stability and Nisin Resistance in Lactococci",Biology,Research Paper,,,,,,,,,
BIO.G0.07.3,Genetic Analysis of a Mutant Strain of Drosophila Melanogaster,Biology,Research Paper,,,,,,,,,
BIO.G0.08.1,Analysis of a Mutant Strain of Drosophila,Biology,Research Paper,,,,,,,,,
BIO.G0.10.1,Bacterial Conjugation and Gene Mapping in E. Coli,Biology,Research Paper,,,,,,,,,
BIO.G0.10.2,Drosophila Melanogaster Genetic Analysis Experiment,Biology,Research Paper,,,,,,,,,
BIO.G0.11.2,Mapping of Genes in a Mutant Strain of Drosophila Melanogaster,Biology,Research Paper,,,,,,,,,
BIO.G0.12.1,The Effect of Initial Carbon Dioxide Concentration on the Rate of Photosynthesis in the Aquatic Plant Elodea,Biology,Research Paper,,,,,,,,,
BIO.G0.14.1,Mapping of Unknown Mutations in Drosophila Melanogaster,Biology,Research Paper,,,,,,,,,
BIO.G0.17.1,Effects of Protein Deficiency on Organ Size in Mus Musculus,Biology,Research Paper,,,,,,,,,
BIO.G0.21.1,Prevalence of Haemosporidians in Birds of Northern Michigan,Biology,Research Paper,,,,,,,,,
BIO.G0.22.1,Trunk Forking in Acer Saccharum: a Phototropic Response to Forest Canopy Gaps,Biology,Research Paper,,,,,,,,,
BIO.G0.23.1,Drosophila Melanogaster lab report,Biology,Research Paper,,,,,,,,,
BIO.G0.27.1,Small Mammal Response to Post-fire Forest Succession in Northern Lower Michigan,Biology,Research Paper,,,,,,,,,
BIO.G0.28.1,Niche Partitioning in Bats,Biology,Research Paper,,,,,,,,,
BIO.G1.02.1,Biological Significance of Modular Structures in Protein Networks,Biology,Research Paper,,,,,,,,,
BIO.G1.05.1,Inferring Swimming Mode from Skeletal Proportions in Fossil Pinnipedimorphs,Biology,Research Paper,,,,,,,,,
BIO.G2.01.1,Relationships and Biogeography of Antillean Cichlids,Biology,Research Paper,,,,,,,,,
BIO.G2.03.1,"Cholera Seasonality, Rainfall, and Fadeouts: a Geostatistical Approach",Biology,Research Paper,,,,,,,,,
BIO.G2.04.1,Polyphyly of the Old World Vultures and Phylogenetic Placement of Gypohierax Angolensis (Aves: Accipitridae) Inferred from Mitochondrial DNA,Biology,Research Paper,,,,,,,,,
BIO.G3.01.1,Do Programming-Oriented Environments Provide Favorable Growing Conditions for Hypotheses?,Biology,Research Paper,,,,,,,,,
BIO.G0.31.1, Neurobiology Disease Explanation to a Parent,Biology,Response Paper,,,,,,,,,
BIO.G1.08.2,Drosophila neuroblasts,Biology,Response Paper,,,,,,,,,
ENG.G0.02.1,The Vicar of Wakefield as a Failed Morality Story,English,Argumentative Essay,,,,,,,,,
ENG.G0.03.1,HIV-AIDS Funding,English,Argumentative Essay,,,,,,,,,
ENG.G0.03.2,William Faulkner's As I Lay Dying,English,Argumentative Essay,,,,,,,,,
ENG.G0.04.1,The Absolute Necessity of College Level Writing Courses,English,Argumentative Essay,,,,,,,,,
ENG.G0.05.1,People or Property?,English,Argumentative Essay,,,,,,,,,
ENG.G0.06.2,A (Solitary) Place For Fantasy in Reality,English,Argumentative Essay,,,,,,,,,
ENG.G0.06.3,Human-Animal Nature in H.G. Wells and Edgar Allen Poe        ,English,Argumentative Essay,,,,,,,,,
ENG.G0.07.1,Effects of digital age on children's literature,English,Argumentative Essay,,,,,,,,,
ENG.G0.09.2,"Historical Places, Violent Spaces: ",English,Argumentative Essay,,,,,,,,,
ENG.G0.11.1,Bloom & Martha: Are You Not Happy in Your Home?,English,Argumentative Essay,,,,,,,,,
ENG.G0.12.1,Women in Beowulf,English,Argumentative Essay,,,,,,,,,
ENG.G0.13.1,The Love Covenant,English,Argumentative Essay,,,,,,,,,
ENG.G0.14.1,James Joyce: A Portrait of the Artist as a Young Man,English,Argumentative Essay,,,,,,,,,
ENG.G0.15.1,Anna Karenina,English,Argumentative Essay,,,,,,,,,
ENG.G0.17.1,The Grey Zone of Shame,English,Argumentative Essay,,,,,,,,,
ENG.G0.18.1,Individuality and Isolation in Moll Flanders,English,Argumentative Essay,,,,,,,,,
ENG.G0.18.2,Frames and Resistance in Pride and Prejudice,English,Argumentative Essay,,,,,,,,,
ENG.G0.18.3,Satire and Morality in the Vicar of Wakefield,English,Argumentative Essay,,,,,,,,,
ENG.G0.18.4,The Space of Dreams in The Age of Innocence,English,Argumentative Essay,,,,,,,,,
ENG.G0.19.2,Paper on Invisible Man for an American Lit course,English,Argumentative Essay,,,,,,,,,
ENG.G0.20.1,Autonomy in Robinson Crusoe,English,Argumentative Essay,,,,,,,,,
ENG.G0.21.1,Elevated Language in Beowulf,English,Argumentative Essay,,,,,,,,,
ENG.G0.22.1,Autumnal Imagery in Austen's Persuasion,English,Argumentative Essay,,,,,,,,,
ENG.G0.23.1,Milton's Relativism ,English,Argumentative Essay,,,,,,,,,
ENG.G0.24.1,Contradiction and Religious Critique: The Pardoner in The Canterbury Tales,English,Argumentative Essay,,,,,,,,,
ENG.G0.25.1,Sexualized Violence and Identity in Achy Obejas' Memory Mambo,English,Argumentative Essay,,,,,,,,,
ENG.G0.26.2,Comparison of Hermia in A Midsummer Night's Dream and Jessica in TheMerchant of Venice,English,Argumentative Essay,,,,,,,,,
ENG.G0.27.1,The Representation of Jesus and Women in the Gospel of Mark,English,Argumentative Essay,,,,,,,,,
ENG.G0.28.1,Bloom the Critic in Joyce's Ulysses,English,Argumentative Essay,,,,,,,,,
ENG.G0.29.1,Good People Breaking Rules,English,Argumentative Essay,,,,,,,,,
ENG.G0.32.1,"Slavery in ""Robinson Crusoe""",English,Argumentative Essay,,,,,,,,,
ENG.G0.34.1,The Law of Love,English,Argumentative Essay,,,,,,,,,
ENG.G0.35.1,"""Less is More: Courtship in Twelfth Night""",English,Argumentative Essay,,,,,,,,,
ENG.G0.35.2,"""Andrew Marvell's Definition of Love""",English,Argumentative Essay,,,,,,,,,
ENG.G0.37.1,The Last Paper I Ever Wrote in College,English,Argumentative Essay,,,,,,,,,
ENG.G0.39.2,The Image of Mary,English,Argumentative Essay,,,,,,,,,
ENG.G0.40.1,Deep Sleep And The Inability To Exist In Works of Fantasy,English,Argumentative Essay,,,,,,,,,
ENG.G0.41.1,Anti-Aristotelian Kane,English,Argumentative Essay,,,,,,,,,
ENG.G0.41.3,Classical and Modern Representations in O'Neill,English,Argumentative Essay,,,,,,,,,
ENG.G0.42.2,Sexuality in Ancient Greece,English,Argumentative Essay,,,,,,,,,
ENG.G0.43.1,Margery Kempe's Self-Fashioning: Visioning Herself in God,English,Argumentative Essay,,,,,,,,,
ENG.G0.44.1,Eve's Understanding of Natural Patriarchy in Paradise Lost,English,Argumentative Essay,,,,,,,,,
ENG.G0.45.1,Charity in Sir Thornhill,English,Argumentative Essay,,,,,,,,,
ENG.G0.46.1,"With Magic Comes Power: Exploring Marlowe's ""Doctor Faustus"" and Shakespeare's ""The Tempest""",English,Argumentative Essay,,,,,,,,,
ENG.G0.47.1,"Female Bonding in the Novel ""Roxana""",English,Argumentative Essay,,,,,,,,,
ENG.G0.49.1,The Purgatory of the Postmodern,English,Argumentative Essay,,,,,,,,,
ENG.G0.49.2,"The Officer, Solness, and the Dionysian Man",English,Argumentative Essay,,,,,,,,,
ENG.G0.49.3,"This Man Loved Earth, Not Heaven, Enough to Die",English,Argumentative Essay,,,,,,,,,
ENG.G0.51.1,Rejecting Colonial Memory,English,Argumentative Essay,,,,,,,,,
ENG.G0.52.1,Deborah and the Degradation of Israel,English,Argumentative Essay,,,,,,,,,
ENG.G0.53.1,Carwin and the Imp of the Perverse,English,Argumentative Essay,,,,,,,,,
ENG.G0.55.1,Self Destruction in Kindred,English,Argumentative Essay,,,,,,,,,
ENG.G0.55.2,Illustrations in Persepolis,English,Argumentative Essay,,,,,,,,,
ENG.G0.58.1,My Reading of Chaucer,English,Argumentative Essay,,,,,,,,,
ENG.G1.02.1,Seeing Selves in Troilus and Cressida,English,Argumentative Essay,,,,,,,,,
ENG.G1.03.1,Theorizing the Analysand Desire,English,Argumentative Essay,,,,,,,,,
ENG.G1.04.1,Sports Literacy and Rhetoric as Power,English,Argumentative Essay,,,,,,,,,
ENG.G1.05.1,Yeats and Spenser,English,Argumentative Essay,,,,,,,,,
ENG.G1.06.1,Intergenerational Trauma in Nora Okja Keller's Comfort Woman,English,Argumentative Essay,,,,,,,,,
ENG.G2.01.1,Messianic Masochism in H. Rider Haggard,English,Argumentative Essay,,,,,,,,,
ENG.G2.02.1,Dramatic Adaptations: Jewish Identity and Narrative Form in The Island Within,English,Argumentative Essay,,,,,,,,,
ENG.G2.02.2,'City Troubles': Miss Lonelyhearts and the Publicized Privacy of Urban Space,English,Argumentative Essay,,,,,,,,,
ENG.G2.03.1,Domesticity in Cold War Black Fiction on the Left,English,Argumentative Essay,,,,,,,,,
ENG.G2.04.1,Augusta Webster Paper,English,Argumentative Essay,,,,,,,,,
ENG.G3.04.1,Creative Multivalence: Social Engagement in Gwendolyn Brooks's 'Maud Martha',English,Argumentative Essay,,,,,,,,,
ENG.G0.06.1,My Life Is Not a Movie Starring Michelle Pfeiffer or Hilary Swank,English,Creative Writing,,,,,,,,,
ENG.G0.26.1,Autoethnography,English,Creative Writing,,,,,,,,,
ENG.G0.38.3,Return to Suomi,English,Creative Writing,,,,,,,,,
ENG.G0.57.1,"Hire Me, You Know You Want To",English,Creative Writing,,,,,,,,,
ENG.G0.30.1,SIgnificance of Menstruation in Joyce's Ulysses,English,Critique/Evaluation,,,,,,,,,
ENG.G0.41.2,"Seasons, Ages, Cycles: All As You Like It",English,Critique/Evaluation,,,,,,,,,
ENG.G0.48.1,Creative Exercise in Style and Content,English,Critique/Evaluation,,,,,,,,,
ENG.G2.05.1,St. Alban and English Exemplarity,English,Critique/Evaluation,,,,,,,,,
ENG.G3.03.1,Into the Light: Avedon's Images of Inmates,English,Critique/Evaluation,,,,,,,,,
ENG.G0.01.1,Woolf's Women,English,Report,,,,,,,,,
ENG.G0.01.2,Douglas's Declaration,English,Report,,,,,,,,,
ENG.G0.10.1,Close Reading Paper: The Tempest (4.1.146-163),English,Report,,,,,,,,,
ENG.G0.13.2,Abraham Drafted to Team Galatians,English,Report,,,,,,,,,
ENG.G0.16.1,Humans and Animals in the Book of Genesis,English,Report,,,,,,,,,
ENG.G0.17.2,"Survival in Auschwitz: Irony, Reality, and Power",English,Report,,,,,,,,,
ENG.G0.19.1,A compare and contrast paper using two texts from a Science Fiction course,English,Report,,,,,,,,,
ENG.G0.22.2,"Chaucer's ""The Franklin's Tale"" and Boccaccio's Il Filocolo",English,Report,,,,,,,,,
ENG.G0.31.1,"Cursed Inheritances in Go Down, Moses",English,Report,,,,,,,,,
ENG.G0.31.2,Jack Zipes and Fairy Tales,English,Report,,,,,,,,,
ENG.G0.33.1,Limited Recovery: Trauma in Obejas' Cuban America,English,Report,,,,,,,,,
ENG.G0.34.2,The Words of Love Between Us: The Covenant in Hosea,English,Report,,,,,,,,,
ENG.G0.34.3,Names of God and Man,English,Report,,,,,,,,,
ENG.G0.36.1,Stephen's Deconstruction of Himself in Ulysses,English,Report,,,,,,,,,
ENG.G0.42.1,Perspectives on the English Revolution,English,Report,,,,,,,,,
ENG.G0.43.2,Defining Wild Nature,English,Report,,,,,,,,,
ENG.G0.50.1,Rosamond Vincy and the Real Sphere,English,Report,,,,,,,,,
ENG.G0.54.1,Analysis of T.C. Boyle's A Friend of the Earth,English,Report,,,,,,,,,
ENG.G1.01.1,Clarissa Consumed,English,Report,,,,,,,,,
ENG.G1.07.1,Categorical Entanglement ,English,Report,,,,,,,,,
ENG.G2.06.1,Jews in the New York Harbor,English,Report,,,,,,,,,
ENG.G2.07.1,Pedagogical genres,English,Report,,,,,,,,,
ENG.G0.38.1,Roman Polanski's Macbeth,English,Response Paper,,,,,,,,,
ENG.G0.38.2,Julie Taymor's Titus,English,Response Paper,,,,,,,,,
