"TCP ID","Author","Title","Date","Imprint","Lang.","Keywords","ESTC","STC/Wing"
"A29439","","A brief description of the province of Carolina on the coasts of Floreda, and more perticularly of a new-plantation begun by the English at Cape-Feare, on that river now by them called Charles-River, the 29th of May, 1664 wherein is set forth the healthfulness of the air, the fertility of the Earth and waters, and the great pleasure and profit will accrue to those that shall go thither to enjoy the same : also, directions and advice to such as shall go thither whether on their own accompts, or to serve under another, together with a most accurate map of the whole province.","1666.","Printed for Robert Horne,","eng","North Carolina -- Description and travel.","R6714","B4571"
"A29694","Brooks, Thomas, 1608-1680.","A heavenly cordial for all those servants of the Lord that have had the plague ... , or, Thirteen divine maximes, or conclusions, in respect of the pestilence which may be as so many supports, comforts and refreshing springs, both to the visited and preserved people of God in this present day : also ten arguments to prove that in times of common calamity the people of God do stand upon the advantage ground as to their outward preservation and protection ... : also eight reasons why some of the precious servants of the Lord have fallen by the pestilence in this day of the Lords anger / by Thomas Brooks.","1666.","Printed for and are to be sold by John Hancock,","eng","Plague -- England -- Religious aspects. Disasters -- England -- Religious aspects.","R29135","B4948"
"A30143","Bunyan, John, 1628-1688.","Grace abounding to the chief of sinners, or, A brief and faithful relation of the exceeding mercy of God in Christ, to his poor servant John Bvnyan wherein is particularly shewed, the manner of his conversion, his fight and trouble for sin, his dreadful temptations, also how he despaired of Gods mercy, and how the Lord at length thorow [sic] Christ did deliver him from all the guilt and terrour that lay upon him : whereunto is added, a brief relation of his call to the work of the ministry, of his temptations therein, as also what he hath met with in prison : all which was written by his own hand there, and now published for the support of the the weak and tempted people of God.","1666.","Printed by George Larkin,","eng","Bunyan, John, 1628-1688.","R3994","B5523"
"A30203","Bunyan, John, 1628-1688.","Sighs from hell, or, The groans of a damned soul discovering from the 16th of Luke the lamentable state of the damned : and may fitly serve as a warning-word to sinners, both old and young, by faith in Jesus Christ, to avoid the same place of torment : with a discovery of the usefulness of the Scriptures as our safe conduct for avoiding the torments of hell / by John Bunyan.","[1666?]","Printed for F. Smith ...,","eng","Hell. Future punishment.","R32596","B5593"
"A31124","","The Case of the booksellers and printers stated with answers to the objections of the patentee.","1666]","s.n.,","eng","Moore, John, -- patentee. Law printing -- Patents.","R34793","C1017"
"A31229","Castlemaine, Roger Palmer, Earl of, 1634-1705.","An account of the present war between the Venetians & Turk with the state of Candie (in a letter to the king, from Venice) / by the Earl of Castlemaine.","1666.","Printed by J.M. for H. Herringman ...,","eng","Venice (Italy) -- History -- Turkish Wars, 17th century. Hērakleion (Greece)","R7289","C1239"
"A31237","Castlemaine, Roger Palmer, Earl of, 1634-1705.","To all the Royalists that suffered for His Majesty, and to the rest of the good people of England the humble apology of the English Catholicks.","1666?]","s.n.,","eng","Royalists -- England. Catholics -- England.","R1297","C1249"
"A32207","England and Wales. Sovereign (1660-1685 : Charles II)","His Majesties declaration Charles R.","1666.","Printed by the assigns of John Bill and Christopher Barker ...,","eng","Charles -- II, -- King of England, 1630-1685. Broadsides","R5612","C2951"
"A32233","England and Wales. Sovereign (1660-1685 : Charles II)","His Majesties declaration to his city of London, upon occasion of the calamity by the lamentable fire","1666.","Printed by John Bill and Christopher Barker ...,","eng","London (England) -- Fire, 1666.","R13350","C3004"
"A32288","England and Wales. Sovereign (1660-1685 : Charles II)","Charles R. His Majesty in his princely compassion and very tender care taking into consideration the distressed condition of many his good subjects, whom the late dreadful and dismal fire hath made destitute ...","[1666]","Printed by John Bill and Christopher Parker ...,","eng","London (England) -- Fire, 1666. Broadsides -- England -- London -- 17th century","R22604","C3088"
"A32313","England and Wales. Sovereign (1660-1685 : Charles II)","His Majestie's most gracious speech to both Houses of Parliament, the one and twentieth day of September, 1666","1666.","Printed by John Bill and Christopher Barker ...,","eng","England and Wales. -- Parliament. Anglo-Dutch War, 1664-1667.","R35917","c3139"
"A32314","England and Wales. Sovereign (1660-1685 : Charles II)","His Majestie's most gracious speech to both Houses of Parliament, the eighteenth day of January, 1666","1666.","Printed by the assigns of John Bill and Christopher Barker ...,","eng","Anglo-Dutch War, 1664-1667.","R19","c3140"
"A32444","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation for further proroguing the Parliament","1665 [i.e. 1666]","Printed by A. & Leonard Lichfield ... for John Bill and Christopher Barker ...,","eng","Proclamations -- Great Britain. Great Britain -- History -- Charles II, 1660-1685.","R30894","C3344"
"A32484","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation for putting off the fair to be held the thirteenth of October next ensuing, in the fields and grounds neer Gravesend","1666.","Printed by John Bill and Christopher Barker ...,","eng","Great Britain -- History -- Charles II, 1660-1685.","R30898","C3395"
"A32503","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation for removing the receipt of His Majesties exchequer from Non-such to Westminster","1665 [i.e. 1666]","Printed by Leonard Lichfield for John Bill, and Christopher Barker ...,","eng","England and Wales. -- Exchequer. Finance -- England.","R30901","C3417"
"A32544","England and Wales. Sovereign (1660-1685 : Charles II)","A proclamation for the discovery and apprehension of of George, Duke of Buckingham","1666/7 [i.e. 1667]","Printed by the assigns of John Bill and Christopher Barker ...,","eng","Buckingham, George Villiers, -- Duke of, 1628-1687. Broadsides -- England -- 17th century.","R18164","C3468"
"A32555","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation for the effectual prosecution of His Majesties commission for the providing and making of salt-peter and gun-powder","1666.","Printed by John Bill and Christopher Barker ...,","eng","Military supplies Weapons industry -- Law and legislation -- England.","R35909","C3478"
"A32557","England and Wales. Sovereign (1660-1685 : Charles II)","A proclamation for the entring and putting in of claims in Ireland, pursuant to His Majesties gracious declaration of the 30th of November 1660, and the instructions for execution thereof","1666.","Printed by the assigns of John Bill and Christopher Barker ...,","eng","Ireland -- Claims -- Early works to 1800.","R221480","C3480"
"A32559","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation for the free exportation of woolen manufacturers until the 25th day of December next","1666.","Printed by John Bill and Christopher Barker ...,","eng","Proclamations -- Great Britain. Great Britain -- Foreign economic relations.","R30903","C3484"
"A32566","England and Wales. Sovereign (1660-1685 : Charles II)","By the King. A proclamation for the further proroguing the Parliament","1666.","printed by John Bill and Christopher Barker, printers to the Kings Majesty,","eng","England and Wales. -- Parliament -- Early works to 1800. Great Britain -- History -- Charles II, 1660-1685 -- Early works to 1800.","R214933","C3490"
"A32567","England and Wales. Sovereign (1660-1685 : Charles II)","By the King a proclamation for the keeping of markets to supply the city of London with provisions, and also for prevention of alarms and tumults, and for appointing the meeting of merchants.","1666.","Printed by John Bill, and Christopher ...,","eng","Markets -- England -- London. London (England) -- Economic conditions.","R214894","C3491"
"A32581","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation for the prohibiting the importation of blue paper","1666.","Printed by John Bill and Christopher Barker ...,","eng","Paper industry -- England. Great Britain -- History -- Charles II, 1660-1685.","R213280","C3506"
"A32612","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation prohibiting the keeping of Barnwell Fair near Cambridge","1666.","Printed by John Bill and Christopher Barker ...,","eng","Sturbridge Fair. Plague -- England.","R35956","C3542"
"A32614","England and Wales. Sovereign (1660-1685 : Charles II)","By the King, a proclamation prohibiting the keeping of Bartholomew Fair and Sturbridge Fair","1666.","Printed by John Bill and Christopher Barker ...,","eng","Bartholomew Fair. Sturbridge Fair.","R213300","C3544"
"A32751","Chaumont, Alexandre, chevalier de, d. 1710.","A new letter concerning the Jevves written by the French ambassador, at Constantinople, to his brother the French resident at Venice ; being a true relation of the proceedings of the Israelites, the wonderful miracles wrought by their prophet, with the terrible judgments that have fallen upon the Turks.","1666.","Printed by A. Maxwell for Robert Boulter ...,","eng","Jews -- History -- 70-1789. Jews -- Migrations.","R39210","C3737A"
"A32916","","The Church-lurcher unkennelled, or, The true stating of the case betwixt sequestred ministers and those that dispossessed them","1666.","Printed for the aut[h]or,","eng","Great Britain -- History -- Charles II, 1660-1685. Great Britain -- History -- Restoration, 1660-1688.","R23705","C3996"
"A32938","Church of England. Diocese of Carlisle. Bishop (1664-1684 : Rainbowe)","Articles to be enquired of in the Diocese of Carlisle In the visitation of the right reverend father in God Edward Lord Bishop of Carlisle. An. Dom. 1666.","M.DC.LXVI. [1666].","printed for T. Garthwait, at the Kings-Head in St. Pauls church-yard,","eng","Visitation sermons -- 17th century Visitations, Ecclesiastical -- England -- Carlisle (diocese) -- Early works to 1800.","R224057","C4023"
"A32967","Church of England. Diocese of Oxford. Bishop (1665-1671 : Blandford)","Articles of visitation & enquiry concerning matters ecclesiastical exhibited to the ministers, church-wardens, and side-men, of every parish within the diocess of Oxon, in the first episcopal visitation of the Right Reverend Father in God, Walter, by divine permission, Lord Bishop of Oxon.","1666.","Printed by William Hall,","eng","Church of England -- Pastoral letters and charges. Visitations, Ecclesiastical -- England.","R41875","C4074"
"A33006","","A form of common prayer, with thanksgiving, for the late victory by His Majesties naval forces appointed to be used in and about London on Tuesday the 14th of August, and through all England, on Thursday the 23d of August.","1666.","Printed by John Bill and Christopher Barker ...,","eng","Church of England -- Liturgy. Prayers.","R162","C4121"
"A34136","C. W.","Common-prayer-book devotions, episcopal delusions, or, The Second death of the service-book wherein the unlawfulness (with advantage) of the imposition of liturgies ... is clearly and plainly demonstrated from the Scriptures ...","1666.","s.n.],","eng","Church of England. -- Book of common prayer -- Controversial literature.","R35602","C5572"
"A35114","Carver, Marmaduke.","A discourse of the terrestrial paradise aiming at a more probable discovery of the true situation of that happy place of our first parents habitation / by Marmaduke Carver ...","1666.","Printed by James Flesher, and are to be sold by Samuel Thomson ...,","eng","Paradise -- Early works to 1800. Eden -- Early works to 1800.","R22054","C718"
"A35206","Crouch, John, fl. 1660-1681.","Londineses lacrymæ Londons second tears mingled with her ashes : a poem / by John Crouch.","1666.","Printed for T. Palmer ...,","eng","London (England) -- Fire, 1666 -- Poetry.","R29669","C7299"
"A35538","Caryl, Joseph, 1602-1673.","An exposition with practical observations continued upon the thirty-eighth, thirty-ninth, fortieth, forty-first, and forty-second, being the five last, chapters of the book of Job being the substance of fifty-two lectures or meditations / by Joseph Caryl ...","1666.","Printed by M. and S. Simmons ...,","eng","Bible. -- O.T. -- Job XXXVIII-XXXXII -- Commentaries.","R19353","C777"
"A35574","Case, Thomas, 1598-1682.","Hagio-mimesis The imitation of the saints : opened in some practical meditations upon the death of Mrs. Anne Browne, late wife of Mr. Peter Browne of Hammersmith / by Thomas Case ...","1666.","Printed by A.M.,","eng","Bible. -- N.T. -- Hebrews VI, 12 -- Sermons. Funeral sermons.","R37528","c822"
"A35608","","The Case of Cornelius Bee and his partners Richard Royston, William Wells, Samuel Thompson, Thomas Robinson, and William Morden, booksellers.","1666?]","s.n.,","eng","Bee, Cornelius. Royston, Richard, 1599-1686.","R37531","C900"
"A35851","Dewsbury, William, 1621-1688.","The word of the Lord to his church and holy assembly regenerated and born again of the righteous seed, which the Lord hath blessed : to whom this is sent to be carefully and distinctly read, in the fear of the Lord, when they are met together, in the light of the convenant of the most high God.","1666.","[s.n.],","eng","Society of Friends -- England -- Pastoral letters and charges.","R36092","D1284"
"A36272","Dolben, John, 1625-1686.","A sermon preached before the King, Aug. 14, 1666 being the day of thanksgiving for the late victory at sea / by J. Dolben ...","1666.","Printed for Timothy Garthwait,","eng","Anglo-Dutch War, 1664-1667 -- Sermons. Sermons, English.","R15031","D1833"
"A36329","Doolittle, Thomas, 1632?-1707.","Man ashiv le-Yahoweh, or, A serious enquiry for a suitable return for continued life, in and after a time of great mortality, by a wasting plague (anno 1665) answered in XIII directions / by Tho. Doolitel.","1666.","Printed by R.I. for J. Johnson, and are to be sold by A. Brewster ... and R. Boulter ...,","eng","Conduct of life -- Early works to 1800. Plague -- Early works to 1800.","R35664","D1895"
"A36358","Dormer, P.","Monarchia triumphans, or, The super-eminency of monarchy over poliarchy or Of the government of one above any free-state or other kinde of soveraignty in many.","1666.","[s.n.],","eng","Monarchy -- History. Great Britain -- History -- Charles II, 1660-1685.","R30984","D1929A"
"A36799","Dugdale, William, Sir, 1605-1686.","Origines juridiciales, or, Historical memorials of the English laws, courts of justice, forms of tryall, punishment in cases criminal, law writers, law books, grants and settlements of estates, degree of serjeant, Innes of court and chancery also, a chronologie of the lord chancelors and keepers of the great seal, lord treasurers, justices itinerant, justices of the Kings Bench and Common Pleas, barons of the Exchequer, masters of the rolls, Kings attorneys and sollicitors, & serjeants at law / by William Dugdale, Esq. ...","1666.","Printed by F. and T. Warren for the author,","eng","Law -- Great Britain -- History. Judges -- Great Britain.","R5005","D2488"
"A37096","","The Dutch Nebuchadnezzar, or, A Strange dream of the States-General with the interpretation thereof : and a famous prophecy of Mr. Powel, writ in the first year of the reign of Queen Elizabeth of ever blessed memory, fore telling the great warrs betwixt England, France, and Holland, this present year, 1666 : and the displaying of the English ensigns upon the French coast, with a great battel to be fought on the tenth day of June next, wherein the English shall become victorious, and twelve French lords, and many thousands of their men to be killed in this engagement.","1666.","Printed for George Roberts,","eng","Powel, Jeremiah -- Prophecies. Europe -- History -- 17th century.","R41102","D2903"
"A37220","Davidson, Thomas, d. 1675.","Cantus, songs and fancies, to three, four, or five parts, both apt for voices and viols with a brief introduction to musick, as is taught by Thomas Davidson, in the Musick-School of Aberdene.","1666.","Printed by John Forbes ...,","eng","Songs, English -- Early works to 1800.","R213597","D380"
"A37237","Davies, John, 1625-1693.","Historical relations, or, A discovery of the true causes why Ireland was never intirely subdu'd nor brought under obedience of the Crown of England until the beginning of the reign of King James of happy memory / by ... John Davis ...","1666.","Printed for Samuel Dancer ...,","eng","Ireland -- History -- 17th century.","R14019","D402"
"A37291","Day, William, ca. 1605-1684.","A paraphrase and commentary upon the epistle of Saint Paul to the Romans by William Day ...","1666.","Printed by S. Griffin for Joshua Kirton, and are to be sold at his shop ...,","eng","Bible. -- N.T. -- Romans -- Criticism, interpretation, etc.","R6047","D473"
"A38556","Elborough, Robert.","London's calamity by fire bewailed and improved in a sermon preached at St. James Dukes-Place wherein the judgements of God are asserted, the times of those judgments specified, the reasons for those judgments assigned, and all in some measure suitably applied / by Robert Elborough ...","1666.","Printed by M.S. for Dorman Newman, and are to be sold at his shop ...,","eng","Bible. -- O.T. -- Ezekiel XX, 47 -- Sermons. Fire -- Religious aspects -- Sermons.","R37316","E320"
"A38630","Marvell, Andrew, 1621-1678.","An essay, or, A narrative of the two great fights at sea between the English and the Dutch, on the 1, 2, 3 and 4 of June, and on the 25 and 26 of July in the year of our Lord 1666","1666.","Printed by E.C. for Henry Brome ...,","eng","Great Britain -- History, Naval -- Stuarts, 1603-1714 -- Poetry.","R17599","E3290"
"A38741","","Europæ modernæ speculum, or, A view of the empires, kingdoms, principalities, seignieuries [sic], and common-wealths of Europe in their present state, their government, policy, different interest and mutual aspect one towards another, from the treaty at Munster, anno 1648, to this present year.","1666.","Printed for Peter Parker, and are to be sold at his shop ...,","eng","Europe -- History -- 1648-1715. Europe -- Politics and government -- 1648-1715.","R30444","e3417a"
"A38792","Evelyn, John, 1620-1706.","Kalendarium hortense, or, The gard'ners almanac directing what he is to do monethly throughout the year, and what fruits and flowers are in prime / by John Evelyn.","MDCLXVI [1666]","Printed by Jo. Martyn and Ja. Allestry, printers to the Royal Society, and are to be sold at their shops ...,","eng","Gardening -- Early works to 1800. Gardening -- England.","R43155","E3491"
"A39246","Eliot, George, 17th cent.","An English-duel, or, Three to three, or, Great Britaines challenge to France, Denmark, and Holland her puissance and strength, her readinesse and willingnesse to obey her Soveraigne in his just war, and how all the counties in these three kingdomes are at an hours warning ready to defend His Sacred Majesty, together with the justnesse of his cause, and hopes of a happy conquest over his enemies / by George Eliot.","1666.","[s.n.],","eng","Anglo-Dutch War, 1664-1667 -- Poetry.","R36217","E545"
"A39345","Eames, John, 17th cent.","A poem being an essay upon the present vvar with the Dutch, since the first battel and victory obtained by His Highness Royal, June 3, 1665, continued to and upon the late happy victory obtained by His Majesties forces at sea, under the conduct of His Highness Prince Rupert, and His Grace the Duke of Albemarle, July 25, 1666 / by John Eames.","1666.","Printed for Henry Herringman, and are to be sold at his shop ...,","eng","Anglo-Dutch War, 1664-1667 -- Poetry. Great Britain -- History -- Charles II, 1660-1685 -- Poetry.","R36133","E67"
"A39442","","An abridgment; or, a summary account of all the statute laws of this kingdom made against Jesuites, seminary priests, and popish recusants drawn up for the benefit of my dear Protestant countrey men, and specially of the juries of England; who, in pursuance of his Majesties proclamation, published at the request and desire of the two houses of Parliament, are to present and indict all Jesuites, priests, and popish recusants, according to the tenor and effect of the said statute laws, and of the said proclamation. Done by a Protestant, to inform such of his fellow subjects, that are ignorant of these laws, and would be willing to do their duties, where and when the laws injoyn them thereto.","printed in the year, 1666.","[s.n.],","eng","Jesuitsd -- Legal status, laws, etc. -- England -- Early works to 1800. Catholics -- England -- Legal status, laws, etc. -- Early works to 1800.","R200827","E861"
"A39466","England and Wales.","An exact abridgment of all statutes in force and use from the beginning of Magna Carta until 1641 / by Edm. Wingate of Grayes-Inne, Esq. ; with a continuation, under their proper titles, of all acts in force and use, untill the year 1666, and alphabetically digested under apt titles ; whereto is annexed four tables directing to the several matters and clauses throughout the said statutes.","1666.","Printed by John Streater, James Flesher, and Henry Twyford, assigns of Richard Atkyns and Edward Atkyns, Esquires ...,","eng","Statutes -- England. Law -- England.","R33346","E906"
"A39482","Protestant.","A summary account of all the statute-laws of this kingdom now in force against Jesuits, seminary priests, and popish recusants drawn up for the benefit of all Protestants / done by a Protestant, to inform such of his fellow-subjects, that are ignorant of these laws, and would be willing to do their duties, where, and when the laws enjoyn them.","printed in the year 1666 and reprinted with additions, 1673.","[s.n.],","eng","Jesuits -- England -- Legal status, laws, etc. -- Early works to 1800. Catholics -- England -- Legal status, laws, etc. -- Early works to 1800.","R233181","E924"
"A39714","Flecknoe, Richard, d. 1678?","A farrago of several pieces being a supplement to his poems, characters, heroick pourtraits, letters, and other discourses formerly published by him / newly written by Richard Flecknoe.","1666.","Printed for the author,","eng","","R24037","F1223"
"A39839","Flower, Christopher, 1621 or 2-1699.","The passion-flower a sermon preached on the 30th day of January, being the day of the martyrdom of King Charls the I. / by Christopher Flower ...","1666.","Printed for Nathaniel Brook ...,","eng","Charles -- I, -- King of England, 1600-1649. Funeral sermons.","R15159","F1384"
"A39938","Ford, Edward, Sir, 1605-1670.","Experimented proposals how the King may have money to pay and maintain his fleets with ease to his people, London may be rebuilt and all proprietors satisfied, money be lent at six per cent on pawns, and the fishing-trade set up, which alone is able and sure to enrich us all, and this without altering, straining or thwarting any of our laws or customes now in use by Sir Edward Forde.","1666.","Printed by William Godbid,","eng","Paper money -- England -- Early works to 1800. Paper money -- Early works to 1800.","R15419","F1520"
"A39974","","A Form of consecration or dedication of churches and chappels together with what may be used in the restauration of ruined churches and expiation of churches desecrated or prophan'd.","1666.","Printed by John Crook ... and are to be sold by Sam Dancer ...,","eng","Church of Ireland -- Liturgy.","R36465","F1566"
"A40151","Fox, George, 1624-1691.","A controversie which hath been betwixt the Quakers, Protestants and Papists, above this twelve years, concerning the Church","1666]","s.n.,","eng","Society of Friends -- England.","R15837","F1777"
"A40174","Fox, George, 1624-1691.","An epistle to be read in all the assemblies of the righteous by G.F.","1666.","s.n.],","eng","Society of Friends -- Pastoral letters and charges.","R36512","F1807"
"A40254","Fox, George, 1624-1691.","Some queries to all the teachers and professors of Christianity to answer","1666]","s.n.,","eng","Society of Friends -- England. Conduct of life -- Early works to 1800.","R29432","F1908A"
"A41053","Fox, Margaret Askew Fell, 1614-1702.","A declaration and an information from us the people of God called Quakers to the present governours, the King and both Houses of Parliament, and all whom it may concern / M.F.","1666.","Printed for Thomas Simmons and Robert Wilson,","eng","Society of Friends -- Great Britain.","R18345","F628"
"A41058","Fox, Margaret Askew Fell, 1614-1702.","A letter sent to the King from M.F. here is also thereunto annexed a paper written unto the magistrates in 1664, which was then printed, and should have been dispersed, but was prevented by wicked hands / by M.F.","1666]","s.n.,","eng","Freedom of religion -- Great Britain.","R5602","F633"
"A41072","Fox, Margaret Askew Fell, 1614-1702.","Womens speaking justified, proved and allowed of by the Scriptures, all such as speak by the spirit and power of the Lord Jesus and how women were the first that preached the tidings of the resurrection of Jesus, and were sent by Christ's own command, before he ascended to the Father, John 20:17.","1666.","[s.n.],","eng","Women in Christianity. Women -- Religious aspects -- Christianity.","R31506","F642"
"A41266","Fage, Robert.","St. Leonard's hill a poem / written by R.F.","1666.","Printed for John Simms ...,","eng","","R40572","F85"
"A41527","Goodwin, Thomas, 1600-1680.","Patience and its perfect work under sudden & sore tryals","1666.","Printed by S. Simmons, for Rob. Duncomb, to be sold at his shop ...,","eng","Patience. Conduct of life.","R40909","G1251"
"A41955","Greatrakes, Valentine, 1629-1683.","A brief account of Mr. Valentine Greatraks, and divers of the strange cures by him lately performed written by himself in a letter addressed to the Honourable Robert Boyle, Esq. ; whereunto are annexed the testimonials of several eminent and worthy persons of the chief matters of fact therein related.","1666.","Printed for J. Starkey ...,","eng","Lloyd, David, 1635-1692. -- Wonders no miracles. Spiritual healing.","R6820","G1789"
"A41958","Greatrakes, Valentine, 1629-1683.","The great cures and strange miracles performed by Mr. Valentine Gertrux who restoreth the blind to sight, the deaf to hearing, the lame to strength, and cripples to walk without crutches : as also, he cureth all manner of diseases, with a stroak of his hand and prayer ...","1666.","Printed for John Thomas,","eng","Spiritual healing. Healers -- Great Britain.","R6726","G1791"
"A42533","Gayton, Edmund, 1608-1666.","The glorious and living cinque-ports of our fortunate island thrice happy in the persons of His Sacred Majestie, the illustrious and puissant Prince, His Royall Highnesse James Duke of Yorke, the two victorious and loyall generals, their united excellencies, Prince Rupert, and George Duke of Albermarle : the heroick and daring captaines in this signall victory : to whom the author humbly presents this following epinikeon / Edm. Gayton.","1666.","Printed by H.H.,","eng","James -- II, -- King of England, 1633-1701 -- Poetry. Rupert, -- Prince, Count Palatine, 1619-1682 -- Poetry.","R8319","G412"
"A42537","Gayton, Edmund, 1608-1666.","To Mr. Robert Whitehall at the wels at Astrop","1666]","s.n.,","eng","Health resorts -- Humor.","R43192","G417"
