Declaración Universal de Derechos Humanos	Universal Declaration of Human Rights	Déclaration universelle des droits de l'homme	Declaração Universal dos Direitos Humanos	DDHH_es
Todos los niños, nacidos de matrimonio o fuera de matrimonio, tienen derecho a igual protección social.	All children, whether born in or out of wedlock, shall enjoy the same social protection.	Tous les enfants, qu'ils soient nés dans le mariage ou hors mariage, jouissent de la même protection sociale.	Todas as crianças, nascidas dentro ou fora do matrimônio, gozam da mesma protecção social.	DDHH_es
Artículo 26	Article 26	Article 26	Artigo 26°	DDHH_es
Toda persona tiene derecho a la educación.	Everyone has the right to education.	Toute personne a droit à l'éducation.	Toda a pessoa tem direito à educação.	DDHH_es
La educación debe ser gratuita, al menos en lo concerniente a la instrucción elemental y fundamental.	Education shall be free, at least in the elementary and fundamental stages.	L'éducation doit être gratuite, au moins en ce qui concerne l'enseignement élémentaire et fondamental.	A educação deve ser gratuita, pelo menos a correspondente ao ensino elementar fundamental.	DDHH_es
La instrucción elemental será obligatoria.	Elementary education shall be compulsory.	L'enseignement élémentaire est obligatoire.	O ensino elementar é obrigatório.	DDHH_es
La instrucción técnica y profesional habrá de ser generalizada; el acceso a los estudios superiores será igual para todos, en función de los méritos respectivos.	Technical and professional education shall be made generally available and higher education shall be equally accessible to all on the basis of merit.	L'enseignement technique et professionnel doit être généralisé; l'accès aux études supérieures doit être ouvert en pleine égalité à tous en fonction de leur mérite.	O ensino técnico e profissional dever ser generalizado; o acesso aos estudos superiores deve estar aberto a todos em plena igualdade, em função do seu mérito.	DDHH_es
La educación tendrá por objeto el pleno desarrollo de la personalidad humana y el fortalecimiento del respeto a los derechos humanos y a las libertades fundamentales; favorecerá la comprensión, la tolerancia y la amistad entre todas las naciones y todos los grupos étnicos o religiosos; y promoverá el desarrollo de las actividades de las Naciones Unidas para el mantenimiento de la paz.	Education shall be directed to the full development of the human personality and to the strengthening of respect for human rights and fundamental freedoms. It shall promote understanding, tolerance and friendship among all nations, racial or religious groups, and shall further the activities of the United Nations for the maintenance of peace.	L'éducation doit viser au plein épanouissement de la personnalité humaine et au renforcement du respect des droits de l'homme et des libertés fondamentales. Elle doit favoriser la compréhension, la tolérance et l'amitié entre toutes les nations et tous les groupes raciaux ou religieux, ainsi que le développement des activités des Nations Unies pour le maintien de la paix.	A educação deve visar à plena expansão da personalidade humana e ao reforço dos direitos do Homem e das liberdades fundamentais e deve favorecer a compreensão, a tolerância e a amizade entre todas as nações e todos os grupos raciais ou religiosos, bem como o desenvolvimento das actividades das Nações Unidas para a manutenção da paz.	DDHH_es
Los padres tendrán derecho preferente a escoger el tipo de educación que habrá de darse a sus hijos.	Parents have a prior right to choose the kind of education that shall be given to their children.	Les parents ont, par priorité, le droit de choisir le genre d'éducation à donner à leurs enfants.	Aos pais pertence a prioridade do direito de escholher o género de educação a dar aos filhos.	DDHH_es
Artículo 27	Article 27	Article 27	Artigo 27°	DDHH_es
Toda persona tiene derecho a tomar parte libremente en la vida cultural de la comunidad, a gozar de las artes y a participar en el progreso científico y en los beneficios que de él resulten.	Everyone has the right freely to participate in the cultural life of the community, to enjoy the arts and to share in scientific advancement and its benefits.	Toute personne a le droit de prendre part librement à la vie culturelle de la communauté, de jouir des arts et de participer au progrès scientifique et aux bienfaits qui en résultent	Toda a pessoa tem o direito de tomar parte livremente na vida cultural da comunidade, de fruir as artes e de participar no progresso científico e nos benefícios que deste resultam.	DDHH_es
Toda persona tiene derecho a la protección de los intereses morales y materiales que le correspondan por razón de las producciones científicas, literarias o artísticas de que sea autora.	Everyone has the right to the protection of the moral and material interests resulting from any scientific, literary or artistic production of which he is the author.	Chacun a droit à la protection des intérêts moraux et matériels découlant de toute production scientifique, littéraire ou artistique dont il est l'auteur.	Todos têm direito à protecção dos interesses morais e materiais ligados a qualquer produção científica, literária ou artística da sua autoria.	DDHH_es
Artículo 28	Article 28	Article 28	Artigo 28°	DDHH_es
Toda persona tiene derecho a que se establezca un orden social e internacional en el que los derechos y libertades proclamados en esta Declaración se hagan plenamente efectivos.	Everyone is entitled to a social and international order in which the rights and freedoms set forth in this Declaration can be fully realized.	Toute personne a droit à ce que règne, sur le plan social et sur le plan international, un ordre tel que les droits et libertés énoncés dans la présente Déclaration puissent y trouver plein effet.	Toda a pessoa tem direito a que reine, no plano social e no plano internacional, uma ordem capaz de tornar plenamente efectivos os direitos e as liberdades enunciadas na presente Declaração.	DDHH_es
Artículo 29	Article 29	Article 29	Artigo 29°	DDHH_es
Toda persona tiene deberes respecto a la comunidad, puesto que sólo en ella puede desarrollar libre y plenamente su personalidad.	Everyone has duties to the community in which alone the free and full development of his personality is possible.	L'individu a des devoirs envers la communauté dans laquelle seule le libre et plein développement de sa personnalité est possible.	O indivíduo tem deveres para com a comunidade, fora da qual não é possível o livre e pleno desenvolvimento da sua personalidade.	DDHH_es
En el ejercicio de sus derechos y en el disfrute de sus libertades, toda persona estará solamente sujeta a las limitaciones establecidas por la ley con el único fin de asegurar el reconocimiento y el respeto de los derechos y libertades de los demás, y de satisfacer las justas exigencias de la moral, del orden público y del bienestar general en una sociedad democrática.	In the exercise of his rights and freedoms, everyone shall be subject only to such limitations as are determined by law solely for the purpose of securing due recognition and respect for the rights and freedoms of others and of meeting the just requirements of morality, public order and the general welfare in a democratic society.	Dans l'exercice de ses droits et dans la jouissance de ses libertés, chacun n'est soumis qu'aux limitations établies par la loi exclusivement en vue d'assurer la reconnaissance et le respect des droits et libertés d'autrui et afin de satisfaire aux justes exigences de la morale, de l'ordre public et du bien-être général dans une société démocratique.	No exercício deste direito e no gozo destas liberdades ninguém está sujeito senão às limitações estabelecidas pela lei com vista exclusivamente a promover o reconhecimento e o respeito dos direitos e liberdades dos outros e a fim de satisfazer as justas exigências da moral, da ordem pública e do bem-estar numa sociedade democrática.	DDHH_es
Estos derechos y libertades no podrán en ningún caso ser ejercidos en oposición a los propósitos y principios de las Naciones Unidas.	These rights and freedoms may in no case be exercised contrary to the purposes and principles of the United Nations.	Ces droits et libertés ne pourront, en aucun cas, s'exercer contrairement aux buts et aux principes des Nations Unies.	Em caso algum estes direitos e liberdades poderão ser exercidos contrariamente e aos fins e aos princípios das Nações Unidas.	DDHH_es
Artículo 30	Article 30	Article 30	Artigo 30°	DDHH_es
Nada en la presente Declaración podrá interpretarse en el sentido de que confiere derecho alguno al Estado, a un grupo o a una persona, para emprender y desarrollar actividades o realizar actos tendientes a la supresión de cualquiera de los derechos y libertades proclamados en esta Declaración.	Nothing in this Declaration may be interpreted as implying for any State, group or person any right to engage in any activity or to perform any act aimed at the destruction of any of the rights and freedoms set forth herein.	Aucune disposition de la présente Déclaration ne peut être interprétée comme impliquant, pour un Etat, un groupement ou un individu, un droit quelconque de se livrer à une activité ou d'accomplir un acte visant à la destruction des droits et libertés qui y sont énoncés.	Nenhuma disposição da presente Declaração pode ser interpretada de maneira a envolver para qualquer Estado, agrupamento ou indivíduo o direito de se entregar a alguma actividade ou de praticar algum acto destinado a destruir os direitos e liberdades aqui enunciados.	DDHH_es
